row_number,variable_name,issue_type,current_value,details,missing_category
60,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
61,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
64,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
67,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
68,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
69,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
70,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
81,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
83,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
84,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
93,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
101,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
105,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
110,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
